City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
204,Machico,32.7,-16.7667,79.43,61,20,8.05,PT,1697434605
205,Orda,57.1951,56.9091,52.14,83,97,18.5,RU,1697434605
206,Huilong,31.8111,121.655,72.41,48,0,8.5,CN,1697434606
207,Dayr az Zawr,35.3359,40.1408,72.27,51,3,17.38,SY,1697434606
208,Ōkuchi-shinohara,32.0667,130.6167,74.08,52,0,8.66,JP,1697434607
209,Constanța,44.1833,28.65,47.08,77,100,23.22,RO,1697434442
210,Kargasok,59.0556,80.8572,40.96,78,99,10.0,RU,1697434607
211,Keflavik,64.0049,-22.5624,43.23,100,75,9.22,IS,1697434608
212,Ad Dilam,23.9915,47.1627,86.41,10,0,9.42,SA,1697434608
213,Bucerías,20.75,-105.3333,82.38,78,20,2.3,MX,1697434442
214,Hancheng,32.5186,112.3522,79.81,41,0,7.05,CN,1697434609
215,Hithadhoo,-0.6,73.0833,81.66,79,9,18.63,MV,1697434609
216,Jayapura,-2.5333,140.7,78.19,69,71,6.62,ID,1697434610
217,Oakdale,44.963,-92.9649,48.65,83,0,8.05,US,1697434610
218,Fort Bragg,35.139,-79.006,56.82,82,100,6.91,US,1697434533
219,Darwin,-12.4611,130.8418,92.89,46,0,13.8,AU,1697434611
220,Tavda,58.0425,65.2726,47.7,87,100,11.01,RU,1697434612
221,Forbes,-33.3833,148.0167,68.92,24,63,22.44,AU,1697434612
222,Coahuayana de Hidalgo,18.7,-103.6583,78.75,85,100,2.01,MX,1697434612
223,Port Hedland,-20.3167,118.5667,102.25,11,0,16.11,AU,1697434613
224,Cape Coast,5.1053,-1.2466,76.82,90,73,8.32,GH,1697434613
225,Puerto Ayora,-0.7393,-90.3518,75.54,90,28,3.0,EC,1697434613
226,Mount Gambier,-37.8333,140.7667,56.03,49,58,12.33,AU,1697434614
227,Callao,-12.0667,-77.15,67.71,77,100,10.36,PE,1697434614
228,Kruisfontein,-34.0033,24.7314,61.72,84,88,13.51,ZA,1697434615
229,Revda,56.801,59.9303,49.44,87,100,13.47,RU,1697434338
230,Mwinilunga,-11.7358,24.4293,71.42,69,100,3.78,ZM,1697434615
231,Patacamaya,-17.2333,-67.9167,43.34,82,19,8.23,BO,1697434616
232,Hadibu,12.65,54.0333,82.24,67,90,0.69,YE,1697434617
233,Princeville,45.7668,-61.2985,53.91,95,100,10.36,CA,1697434617
234,Naryan-Mar,67.6713,53.087,33.12,87,97,20.0,RU,1697434617
235,Pangai,-19.8,-174.35,75.31,73,75,19.57,TO,1697434618
236,Poso,-1.3959,120.7524,87.8,62,19,5.5,ID,1697434618
237,Saipan,15.1355,145.701,86.7,70,0,8.05,MP,1697434619
238,Falmouth,50.1544,-5.0711,52.38,71,100,12.66,GB,1697434514
239,Hamilton,39.1834,-84.5333,49.84,87,100,9.22,US,1697434620
240,Holualoa,19.6228,-155.9522,76.84,92,75,6.91,US,1697434620
241,Deyang,31.1302,104.382,69.42,71,96,5.06,CN,1697434620
242,Caleta de Carquín,-11.0925,-77.6267,65.57,90,89,7.81,PE,1697434621
243,Saldus,56.6636,22.4881,40.08,84,74,9.84,LV,1697434621
244,Gembu,6.7,11.2667,63.3,87,97,1.95,NG,1697434622
245,Saint Paul Harbor,57.79,-152.4072,45.91,93,100,20.71,US,1697434622
246,Port Lincoln,-34.7333,135.8667,57.96,56,26,15.5,AU,1697434622
247,Chhor,25.5167,69.7667,90.57,46,8,16.58,PK,1697434623
248,Riosucio,5.4216,-75.7032,53.08,98,91,1.01,CO,1697434623
249,Pijijiapan,15.7011,-93.23,76.05,91,100,5.03,MX,1697434623
250,Slave Lake,55.2834,-114.769,35.58,93,0,2.3,CA,1697434624
251,Namtsy,62.7161,129.6658,25.03,58,13,5.53,RU,1697434624
252,Tres Palos,18.1833,-101.6167,73.22,97,100,3.85,MX,1697434625
253,Diapaga,12.0708,1.7889,77.95,68,96,6.98,BF,1697434625
254,Bilibino,68.0546,166.4372,12.96,96,84,2.57,RU,1697434625
255,M'Sila,35.7058,4.5419,67.48,28,19,8.5,DZ,1697434626
256,Mount Isa,-20.7333,139.5,92.97,10,0,12.66,AU,1697434626
257,Keokuk,40.3973,-91.3849,45.09,87,20,6.91,US,1697434627
258,Pisco,-13.7,-76.2167,66.25,82,20,1.14,PE,1697434473
259,Zaozërsk,69.4005,32.4476,38.07,93,100,24.43,RU,1697434628
260,Gilgit,35.9221,74.3087,62.04,50,100,2.17,PK,1697434628
261,Pemangkat,1.1667,108.9667,84.25,73,83,4.38,ID,1697434488
262,Santa Cruz de la Sierra,-17.8,-63.1667,78.26,69,13,8.05,BO,1697434629
263,Rongelap,11.1635,166.8941,83.55,73,17,12.68,MH,1697434629
264,Mar del Plata,-38.0023,-57.5575,57.09,96,54,6.91,AR,1697434523
265,Blagoevgrad,42.0167,23.1,52.3,61,85,15.99,BG,1697434630
266,Gagnoa,6.1293,-5.9437,71.82,100,100,2.33,CI,1697434622
267,Inhambane,-23.865,35.3833,73.38,83,75,3.44,MZ,1697434631
268,Linda,39.1277,-121.5508,73.27,56,0,3.44,US,1697434631
269,Umm Hājar,13.2954,19.6966,85.95,44,62,5.35,TD,1697434632
270,Peterhead,57.5058,-1.7981,37.8,76,98,10.02,GB,1697434632
271,Bridlington,54.0831,-0.1919,39.13,73,100,4.81,GB,1697434467
272,Puerto Deseado,-47.7503,-65.8938,46.87,59,74,4.36,AR,1697434633
273,Geraldton,-28.7667,114.6,102.61,7,55,8.05,AU,1697434390
274,Saldanha,-33.0117,17.9442,59.05,75,2,6.06,ZA,1697434634
275,Zhuanghe,39.7008,122.9911,60.78,25,0,12.41,CN,1697434628
276,Talnakh,69.4865,88.3972,25.59,93,82,4.56,RU,1697434635
277,Lautoka,-17.6167,177.4667,82.26,69,40,12.66,FJ,1697434635
278,Flying Fish Cove,-10.4217,105.6791,82.08,83,100,11.5,CX,1697434635
279,Tucumã,-0.1833,-50.05,79.77,80,31,8.75,BR,1697434635
